"COLLEGE
CODE",COLLEGE NAME,"BRANCH
CODE",BRANCH NAME,OC,BC,BCM,MBC,SC,SCA,ST,Zipcode,District,Total_Seats
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),0,0,0,0,0,0,0,600044,KANCHIPURAM,0
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,AU,AUTOMOBILE ENGINEERING,0,0,0,0,0,1,1,600044,KANCHIPURAM,2
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,CM,COMPUTER SCIENCE AND ENGINEERING (SS),0,0,0,0,0,0,0,600044,KANCHIPURAM,0
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,CS,COMPUTER SCIENCE AND ENGINEERING,0,0,0,0,0,0,0,600044,KANCHIPURAM,0
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,0,0,0,0,0,0,0,600044,KANCHIPURAM,0
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,0,0,0,0,0,0,0,600044,KANCHIPURAM,0
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),0,0,0,0,0,0,0,600044,KANCHIPURAM,0
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,IM,INFORMATION TECHNOLOGY (SS),0,0,0,0,0,0,0,600044,KANCHIPURAM,0
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,PR,PRODUCTION ENGINEERING,0,0,0,0,0,2,1,600044,KANCHIPURAM,3
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,RA,ROBOTICS AND AUTOMATION (SS),0,0,0,0,0,0,0,600044,KANCHIPURAM,0
4,University Departments of Anna University Chennai - MIT Campus Chrompet Tambaram Taluk Chengalpattu District 600 044,RP,RUBBER AND PLASTIC TECHNOLOGY,0,0,0,8,8,2,0,600044,KANCHIPURAM,18
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),5,14,1,11,9,2,0,608002,CUDDALORE,42
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",CE,CIVIL  ENGINEERING,17,15,2,11,7,2,1,608002,CUDDALORE,55
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",CF,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),13,14,2,11,7,2,1,608002,CUDDALORE,50
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",CH,CHEMICAL  ENGINEERING,27,28,5,22,17,2,1,608002,CUDDALORE,102
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",CS,COMPUTER SCIENCE AND ENGINEERING,7,28,4,22,17,4,0,608002,CUDDALORE,82
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",CZ,CIVIL AND STRUCTUTURAL ENGINEERING,16,15,2,11,8,2,0,608002,CUDDALORE,54
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,8,14,2,11,8,1,1,608002,CUDDALORE,45
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,31,29,4,22,17,2,1,608002,CUDDALORE,106
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,15,15,2,11,7,2,1,608002,CUDDALORE,53
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",IT,INFORMATION TECHNOLOGY,29,29,3,21,17,4,1,608002,CUDDALORE,104
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",ME,MECHANICAL ENGINEERING,33,29,3,22,17,3,1,608002,CUDDALORE,108
5,"Annamalai University Faculty of Engineering and Technology Annamalai nagar Chidambaram, Cuddalore District - 608002",MM,MECHANICAL ENGINEERING (MANUFACTURING),17,15,2,10,8,2,1,608002,CUDDALORE,55
1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,CS,COMPUTER SCIENCE AND ENGINEERING,0,12,2,9,8,2,1,605103,VILLUPURAM,34
1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,10,15,2,11,8,2,0,605103,VILLUPURAM,48
1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,IT,INFORMATION TECHNOLOGY,0,15,1,11,9,1,1,605103,VILLUPURAM,38
1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,ME,MECHANICAL ENGINEERING,17,14,2,11,8,2,0,605103,VILLUPURAM,54
1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,SC,Computer Science and Engineering (Cyber Security),2,7,1,6,3,1,0,605103,VILLUPURAM,20
1013,University College of Engineering Villupuram Kakuppam Villupuram District 605103,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),8,6,1,6,4,1,1,605103,VILLUPURAM,27
1014,University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001,CE,CIVIL  ENGINEERING,16,15,2,11,8,2,0,604001,VILLUPURAM,54
1014,University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001,CS,COMPUTER SCIENCE AND ENGINEERING,0,12,2,11,8,1,1,604001,VILLUPURAM,35
1014,University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,15,14,1,10,9,1,1,604001,VILLUPURAM,51
1014,University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001,EF,Electrical and Computer Engineering,9,7,1,5,4,1,0,604001,VILLUPURAM,27
1014,University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001,IT,INFORMATION TECHNOLOGY,10,15,2,12,8,2,0,604001,VILLUPURAM,49
1014,University College of Engineering Tindivanam Melpakkam Tindivanam Villupuram District 604001,XC,CIVIL ENGINEERING (TAMIL MEDIUM),9,6,1,5,4,1,1,604001,VILLUPURAM,27
1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni Thiruvannamalai District 632326,CS,COMPUTER SCIENCE AND ENGINEERING,11,15,2,11,8,2,0,632326,TIRUVANNAMALAI,49
1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni Thiruvannamalai District 632326,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,15,14,3,11,7,2,0,632326,TIRUVANNAMALAI,52
1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni Thiruvannamalai District 632326,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,18,13,2,11,8,1,1,632326,TIRUVANNAMALAI,54
1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni Thiruvannamalai District 632326,ME,MECHANICAL ENGINEERING,9,8,1,4,4,0,1,632326,TIRUVANNAMALAI,27
1015,University College of Engineering Arni Arni to Devikapuram Road Thatchur Arni Thiruvannamalai District 632326,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),8,7,1,6,4,1,0,632326,TIRUVANNAMALAI,27
1026,University College of Engineering Kancheepuram Ponnerikarai Campus NH4 Chennai-Bangalore Highway Karaipettai Village & Post Kancheepuram District 631552,CS,COMPUTER SCIENCE AND ENGINEERING,0,11,1,5,8,2,0,631552,KANCHIPURAM,27
1026,University College of Engineering Kancheepuram Ponnerikarai Campus NH4 Chennai-Bangalore Highway Karaipettai Village & Post Kancheepuram District 631552,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,6,15,2,11,8,1,1,631552,KANCHIPURAM,44
1026,University College of Engineering Kancheepuram Ponnerikarai Campus NH4 Chennai-Bangalore Highway Karaipettai Village & Post Kancheepuram District 631552,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,18,14,2,10,8,2,1,631552,KANCHIPURAM,55
1026,University College of Engineering Kancheepuram Ponnerikarai Campus NH4 Chennai-Bangalore Highway Karaipettai Village & Post Kancheepuram District 631552,ME,MECHANICAL ENGINEERING,16,14,2,11,8,2,1,631552,KANCHIPURAM,54
1026,University College of Engineering Kancheepuram Ponnerikarai Campus NH4 Chennai-Bangalore Highway Karaipettai Village & Post Kancheepuram District 631552,SC,Computer Science and Engineering (Cyber Security),4,7,0,6,5,1,0,631552,KANCHIPURAM,23
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai- 600055.",AD,Artificial Intelligence and Data Science,8,7,1,6,4,1,0,600055,TIRUVALLUR,27
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai- 600055.",AM,COMPUTER SCIENCE AND ENGINEERING (AI AND MACHINE LEARNING),4,4,1,3,2,0,0,600055,TIRUVALLUR,14
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai- 600055.",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,4,3,0,3,2,1,0,600055,TIRUVALLUR,13
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai- 600055.",CS,COMPUTER SCIENCE AND ENGINEERING,14,14,0,10,9,2,1,600055,TIRUVALLUR,50
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai- 600055.",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,7,8,0,5,5,1,0,600055,TIRUVALLUR,26
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai- 600055.",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,4,4,1,3,2,0,0,600055,TIRUVALLUR,14
1101,"Aalim Muhammed Salegh College of Engineering, Nizara Educational Campus Muthapudupet, Avadi - IAF, Chennai- 600055.",IT,INFORMATION TECHNOLOGY,9,7,1,6,3,1,0,600055,TIRUVALLUR,27
